Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SUP, Crisp (14480586), Crisp,14480586,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,FPX,62.56
JNG, Xinyi (14480644), Xinyi,14480644,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,EDG,0
JNG, JunJia (14480645), JunJia,14480645,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,EDG,61.67
JNG, Meteor (14480601), Meteor,14480601,CPT,8700,BLG@iG 04/12/2020 05:30AM ET,BLG,55.78
SUP, Keria (14480587), Keria,14480587,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,DRX,57.93
JNG, Spirit (14480602), Spirit,14480602,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,AF,45.03
TEAM, DragonX (14480616), DragonX,14480616,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,DRX,49.62
TOP, melody (14480627), melody,14480627,CPT,8400,SN@DMO 04/12/2020 02:00AM ET,DMO,10.02
TOP, Jinoo (14480570), Jinoo,14480570,CPT,8400,FPX@EDG 04/12/2020 04:00AM ET,EDG,71.14
ADC, huanfeng (14480516), huanfeng,14480516,ADC,8200,SN@DMO 04/12/2020 02:00AM ET,SN,78.01
TOP, Kiin (14480571), Kiin,14480571,CPT,8100,DRX@AF 04/12/2020 04:00AM ET,AF,53.01
JNG, Dread (14480646), Dread,14480646,CPT,8100,DRX@AF 04/12/2020 04:00AM ET,AF,20.06
SUP, Life (14480588), Life,14480588,CPT,8100,HLE@GEN 04/12/2020 05:30AM ET,GEN,55.86
JNG, Haru (14480603), Haru,14480603,CPT,8100,HLE@GEN 04/12/2020 05:30AM ET,HLE,46.43
TEAM, FunPlus Phoenix (14480617), FunPlus Phoenix,14480617,CPT,8100,FPX@EDG 04/12/2020 04:00AM ET,FPX,50.5
TOP, Aodi (14480628), Aodi,14480628,CPT,8100,FPX@EDG 04/12/2020 04:00AM ET,EDG,70.15
TOP, xiaoxiang (14480629), xiaoxiang,14480629,CPT,8100,FPX@EDG 04/12/2020 04:00AM ET,EDG,42.56
ADC, Weiwei (14480559), Weiwei,14480559,ADC,8000,SN@DMO 04/12/2020 02:00AM ET,SN,55.76
MID, Doinb (14480486), Doinb,14480486,MID,8000,FPX@EDG 04/12/2020 04:00AM ET,FPX,86.44
ADC, Puff (14480517), Puff,14480517,ADC,8000,BLG@iG 04/12/2020 05:30AM ET,iG,80.83
MID, Angel (14480487), Angel,14480487,MID,7800,SN@DMO 04/12/2020 02:00AM ET,SN,71.07
ADC, Lwx (14480518), Lwx,14480518,ADC,7800,FPX@EDG 04/12/2020 04:00AM ET,FPX,83.52
TOP, Hoon (14480630), Hoon,14480630,CPT,7800,DRX@AF 04/12/2020 04:00AM ET,AF,0
SUP, Kellin (14480638), Kellin,14480638,CPT,7800,HLE@GEN 04/12/2020 05:30AM ET,GEN,36.96
TEAM, Suning (14480618), Suning,14480618,CPT,7800,SN@DMO 04/12/2020 02:00AM ET,SN,37.46
TOP, Kingen (14480572), Kingen,14480572,CPT,7800,BLG@iG 04/12/2020 05:30AM ET,BLG,42.77
ADC, Deft (14480519), Deft,14480519,ADC,7600,DRX@AF 04/12/2020 04:00AM ET,DRX,77.95
ADC, April (14480560), April,14480560,ADC,7600,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
MID, Rookie (14480488), Rookie,14480488,MID,7600,BLG@iG 04/12/2020 05:30AM ET,iG,75.22
TOP, CuVee (14480573), CuVee,14480573,CPT,7500,HLE@GEN 04/12/2020 05:30AM ET,HLE,41.11
SUP, Meiko (14480589), Meiko,14480589,CPT,7500,FPX@EDG 04/12/2020 04:00AM ET,EDG,54.15
TOP, ADD (14480631), ADD,14480631,CPT,7500,BLG@iG 04/12/2020 05:30AM ET,BLG,33.17
MID, Bdd (14480489), Bdd,14480489,MID,7400,HLE@GEN 04/12/2020 05:30AM ET,GEN,74.84
JNG, SofM (14480506), SofM,14480506,JNG,7400,SN@DMO 04/12/2020 02:00AM ET,SN,63.38
ADC, Hope (14480520), Hope,14480520,ADC,7400,FPX@EDG 04/12/2020 04:00AM ET,EDG,86.85
MID, Chovy (14480490), Chovy,14480490,MID,7200,DRX@AF 04/12/2020 04:00AM ET,DRX,70.48
ADC, Ruler (14480521), Ruler,14480521,ADC,7200,HLE@GEN 04/12/2020 05:30AM ET,GEN,72.40
JNG, Tian (14480507), Tian,14480507,JNG,7200,FPX@EDG 04/12/2020 04:00AM ET,FPX,71.28
SUP, Mark (14480590), Mark,14480590,CPT,7200,SN@DMO 04/12/2020 02:00AM ET,DMO,35.76
TEAM, Dominus Esports (14480619), Dominus Esports,14480619,CPT,7200,SN@DMO 04/12/2020 02:00AM ET,DMO,33.62
MID, Quad (14480544), Quad,14480544,MID,7000,DRX@AF 04/12/2020 04:00AM ET,DRX,84.36
MID, xiye (14480491), xiye,14480491,MID,7000,SN@DMO 04/12/2020 02:00AM ET,DMO,44.07
ADC, Gala (14480522), Gala,14480522,ADC,7000,SN@DMO 04/12/2020 02:00AM ET,DMO,54.63
JNG, mingjing (14480553), mingjing,14480553,JNG,7000,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
JNG, Leyan (14480508), Leyan,14480508,JNG,7000,BLG@iG 04/12/2020 05:30AM ET,iG,57.76
SUP, Jelly (14480591), Jelly,14480591,CPT,6900,DRX@AF 04/12/2020 04:00AM ET,AF,37.67
TEAM, EDward Gaming (14480620), EDward Gaming,14480620,CPT,6900,FPX@EDG 04/12/2020 04:00AM ET,EDG,49
JNG, Pyosik (14480509), Pyosik,14480509,JNG,6800,DRX@AF 04/12/2020 04:00AM ET,DRX,67.02
ADC, Mystic (14480523), Mystic,14480523,ADC,6800,DRX@AF 04/12/2020 04:00AM ET,AF,59.66
MID, Xiaowei (14480545), Xiaowei,14480545,MID,6800,SN@DMO 04/12/2020 02:00AM ET,DMO,52.94
MID, Scout (14480492), Scout,14480492,MID,6800,FPX@EDG 04/12/2020 04:00AM ET,EDG,74.25
